Univeristy,City,State,GPA,Annual Tuition,Types of School,Size of Students
ITT Technical Institute-Chantilly,Chantilly,VA,3.06,9210,private,5302
Flagler College-Tallahassee,Tallahassee,FL,3.15,5909,public,10629
Sanford-Brown College-Seattle,Tukwila,WA,1.75,6412,public,8080
ITT Technical Institute-Wichita,Wichita,KS,3.66,7686,public,11039
Woodbury University,Burbank,CA,1.98,9902,public,11057
Howard University,Washington,DC,2.18,5003,public,17004
University of Southernmost Florida,Jacksonville,FL,2.57,7880,private,8688
Atlanta Technical College,Atlanta,GA,3.48,5934,private,13615
North Georgia Technical College,Clarkesville,GA,2.22,6914,public,8146
Carl Sandburg College,Galesburg,IL,2.22,7304,public,12781
Joliet Junior College,Joliet,IL,3.7,9985,public,18841
Telshe Yeshiva-Chicago,Chicago,IL,3.58,6452,private,8147
Indiana University-South Bend,South Bend,IN,3.76,6376,private,10936
Waldorf College,Forest City,IA,2.77,10735,private,18191
Asbury Theological Seminary,Wilmore,KY,1.76,5406,public,16765
College of the Atlantic,Bar Harbor,ME,2.44,9635,public,10679
Bunker Hill Community College,Boston,MA,1.68,7717,private,5190
Western New England University,Springfield,MA,3.54,6051,private,7787
Kirtland Community College,Roscommon,MI,2.74,6136,public,17966
Academy College,Minneapolis,MN,1.53,10823,private,19318
Crossroads College,Rochester,MN,2.59,5165,public,18664
Mississippi Delta Community College,Moorhead,MS,3.39,6725,private,12445
Drury University,Springfield,MO,3.95,7838,private,14701
Nazarene Theological Seminary,Kansas City,MO,2.63,9673,public,8534
University of Nebraska at Kearney,Kearney,NE,2.88,5865,public,19807
Rowan College at Gloucester County,Sewell,NJ,2.02,5894,private,12682
American Academy of Dramatic Arts-New York,New York,NY,3.4,5436,public,5066
Concordia College-New York,Bronxville,NY,2.15,9037,private,9323
LIU Hudson at Rockland,Orangeburg,NY,1.93,5540,private,4688
University of Rochester,Rochester,NY,3.44,6139,public,14772
SUNY Downstate Medical Center,Brooklyn,NY,2.06,6709,private,11801
Gardner-Webb University,Boiling Springs,NC,1.99,8628,private,14681
Pfeiffer University,Misenheimer,NC,3.76,5072,public,6101
Cankdeska Cikana Community College,Fort Totten,ND,1.56,8507,private,17334
Cleveland Institute of Art,Cleveland,OH,1.84,10392,public,8974
Marietta College,Marietta,OH,1.78,6232,public,7968
Rabbinical College Telshe,Wickliffe,OH,2.7,10707,private,13430
Southern Nazarene University,Bethany,OK,1.99,8542,public,13768
University of Western States,Portland,OR,3.3,10593,public,10635
Harrisburg Area Community College-Harrisburg,Harrisburg,PA,2.57,7574,public,14266
University of Pittsburgh-Greensburg,Greensburg,PA,3.93,10301,public,15476
Chamberlain College of Nursing-Virginia,Arlington,VA,2.41,8435,public,14882
CollegeAmerica-Phoenix,Phoenix,AZ,3.2,8063,private,7873
South University-Austin,Austin,TX,1.94,8648,private,17041
University of Phoenix-Florida,Orlando,FL,1.59,8764,public,10443
Enterprise State Community College,Enterprise,AL,2.6,8678,public,9570
Tuskegee University,Tuskegee,AL,3.18,5663,private,5654
University of Arkansas Community College-Hope,Hope,AR,1.99,10143,public,14500
Chaffey College,Rancho Cucamonga,CA,2.31,7292,private,8337
Loma Linda University,Loma Linda,CA,2.44,8566,private,15741
Porterville College,Porterville,CA,3.41,9378,private,6502
Pickens Technical College,Aurora,CO,3.88,5812,private,9470
Goldey-Beacom College,Wilmington,DE,3.69,10106,public,16598
Remington College-Tampa Campus,Tampa,FL,2.09,9625,public,11483
Clark Atlanta University,Atlanta,GA,3.94,6775,public,18153
Triangle Tech Inc-Dubois,Falls Creek,PA,1.95,7636,private,8337
Trident Technical College,Charleston,SC,2.75,10842,public,10051
Fountainhead College of Technology,Knoxville,TN,2.66,8015,private,5757
South University-The Art Institute of Dallas,Dallas,TX,2.19,9930,public,16668
The University of Texas at Brownsville,Brownsville,TX,3.03,10323,private,5335
Broadview University-West Jordan,West Jordan,UT,2.07,5542,public,5167
Central Washington University,Ellensburg,WA,3.35,7707,private,14765
Spokane Falls Community College,Spokane,WA,2.32,7993,private,12843
Columbia College of Nursing,Glendale,WI,2.99,10217,public,8697
University of Wisconsin-Green Bay,Green Bay,WI,1.53,9174,private,5978
University of Puerto Rico-Cayey,Cayey,PR,3.76,10402,public,9100
Everest College-Everett,Everett,WA,3.85,7589,public,18228
University of the Potomac-Washington DC Campus,Washington,DC,2.91,10809,public,15388
Leech Lake Tribal College,Cass Lake,MN,3.34,7709,private,16653
Ottawa University-Milwaukee,Brookfield,WI,1.7,8374,public,11161
Ilisagvik College,Barrow,AK,3.01,7610,private,9364
Aviation Institute of Maintenance-Atlanta,Duluth,GA,2.02,10091,public,16153
Le Cordon Bleu College of Culinary Arts-Orlando,Orlando,FL,3.75,7049,public,17681
ITT Technical Institute-Hilliard,Hilliard,OH,2.06,9921,public,15101
Aviator College of Aeronautical Science and Technology,Fort Pierce,FL,3.72,5255,private,14476
Taylor College,Belleview,FL,2.01,9746,private,18314
Auburn University at Montgomery,Montgomery,AL,2.73,6227,public,5071
Spring Hill College,Mobile,AL,3.9,6348,private,6487
Arizona Christian University,Phoenix,AZ,3.52,10182,public,11007
Pulaski Technical College,North Little Rock,AR,1.73,6774,private,5344
Houston Graduate School of Theology,Houston,TX,2.41,7280,public,13382
ITT Technical Institute-Knoxville,Knoxville,TN,3.22,6676,private,18283
New England School of Communications,Bangor,ME,3.53,5941,public,10658
School of Professional Horticulture at the New York Botanical Garden,Bronx,NY,1.95,6385,private,15379
Remington College-Memphis Campus,Memphis,TN,3.06,7915,private,9565
Aviation Institute of Maintenance-Chesapeake,Chesapeake,VA,2.29,10223,public,13144
ITT Technical Institute-Saint Rose,Saint Rose,LA,2.38,6857,public,17194
Aviation Institute of Maintenance-Dallas,Irving,TX,2.91,9394,public,19498
Birthingway College of Midwifery,Portland,OR,2.37,7661,public,16973
SAE Institute of Technology-Nashville,Nashville,TN,3.14,10451,public,10898
Miami-Jacobs Career College-Troy,Troy,OH,3.61,9978,public,6889
The Art Institute of California-Argosy University-Silicon Valley,Sunnyvale,CA,2.86,6176,private,8046
Fortis College-Phoenix,Phoenix,AZ,2.17,9354,private,16341
Sanford-Brown College-Phoenix,Phoenix,AZ,3.88,7417,public,5163
Touro University Nevada,Henderson,NV,2.59,6637,public,7467
Dewey University-Manati,Manati,PR,3.67,6498,private,9343
ITT Technical Institute-Overland Park,Overland Park,KS,2.71,6874,private,14128
National American University-Weldon Spring,Weldon Spring,MO,3.9,8774,public,9075
Alabama College of Osteopathic Medicine,Dothan,AL,3.54,9376,private,19009
Vatterott College-Appling Farms,Memphis,TN,3.85,10240,public,17690
ITT Technical Institute-Cedar Rapids,Cedar Rapids,IA,3.5,10006,private,19252
Remington College-Heathrow Campus,Heathrow,FL,3.37,8174,public,12846
National American University-Lee's Summit,Lee's Summit,MO,3.3,10287,public,19213
ITT Technical Institute-Germantown,Greenfield,WI,1.71,8366,public,5986
Burnett International College,Boynton Beach,FL,3.48,6197,public,17542
Coastal Pines Technical College,Waycross,GA,2.89,9200,public,19755
Virginia College-Montgomery,Montgomery,AL,1.53,8774,public,18700
ITT Technical Institute-Charlotte North,Charlotte,NC,2.88,6434,public,5067
Norco College,Norco,CA,2.3,7410,private,15217
Chamberlain College of Nursing-Texas,Houston,TX,3.69,6217,private,16155
Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,3.21,6995,public,13471
DeVry University-California,Pomona,CA,2.51,6053,private,19605
Graduate School USA,Washington,DC,1.86,5753,private,10253
Won Institute of Graduate Studies,Glenside,PA,1.98,5432,public,18811
Virginia College-Mobile,Mobile,AL,3.75,6938,private,14237
Westwood College-Arlington Ballston,Arlington,VA,3.65,6017,private,16487
Charter Oak State College,New Britain,CT,2.04,6925,public,19135
Edward Waters College,Jacksonville,FL,3.03,5005,private,10442
Everest Institute-North Miami,Miami,FL,2.57,8338,private,15772
Brenau University,Gainesville,GA,1.81,6439,private,8635
Augustana College,Rock Island,IL,3.17,5035,public,9923
Harrington College of Design,Chicago,IL,3.86,9347,private,19221
Morrison Institute of Technology,Morrison,IL,3.22,8823,public,10399
Butler University,Indianapolis,IN,3.63,8646,private,12861
Brown Mackie College-South Bend,South Bend,IN,3.26,5958,private,19284
Highland Community College,Highland,KS,1.6,9606,public,19313
West Kentucky Community and Technical College,Paducah,KY,2.45,10000,public,5254
Harford Community College,Bel Air,MD,2.82,5072,public,11790
Merrimack College,North Andover,MA,1.75,10592,private,13126
Bay de Noc Community College,Escanaba,MI,3.68,10631,private,11328
Schoolcraft College,Livonia,MI,1.88,8464,private,4952
Globe University-Woodbury,Woodbury,MN,3.76,8653,private,13415
Winona State University,Winona,MN,2.08,7948,public,4952
Northwest Mississippi Community College,Senatobia,MS,1.52,6231,public,18527
Kenrick Glennon Seminary,Saint Louis,MO,2.91,10509,public,6763
Highlands College of Montana Tech,Butte,MT,2.5,9576,public,11038
Keene State College,Keene,NH,2.89,8055,private,6097
New Mexico Institute of Mining and Technology,Socorro,NM,2.83,10603,public,18368
Cochran School of Nursing,Yonkers,NY,3.89,6086,private,16519
Fordham University,Bronx,NY,2.48,6696,public,16592
Mohawk Valley Community College,Utica,NY,3.71,5521,private,5702
Samaritan Hospital School of Nursing,Troy,NY,3.81,6461,private,12981
Union College,Schenectady,NY,2.73,5893,private,10015
James Sprunt Community College,Kenansville,NC,3.1,6601,public,8661
Stanly Community College,Albemarle,NC,1.85,9086,private,15389
Bryant & Stratton College-Parma,Parma,OH,1.63,6821,private,19833
Edison State Community College,Piqua,OH,3.38,7702,public,6007
Owens Community College,Perrysburg,OH,2.85,7620,private,14756
Trumbull Business College,Warren,OH,2.47,5520,public,19124
New Hope Christian College-Eugene,Eugene,OR,3.61,10935,private,12691
Cheyney University of Pennsylvania,Cheyney,PA,2.07,9835,private,5276
Moore College of Art and Design,Philadelphia,PA,3.27,6312,private,10529
ITT Technical Institute-Las Vegas,North Las Vegas,NV,2.47,9062,public,8732
National American University-Tulsa,Tulsa,OK,2.57,8148,public,13894
ITT Technical Institute-Deerfield Beach,Fort Lauderdale,FL,1.95,5525,private,11026
DeVry University-Illinois,Chicago,IL,1.82,10251,private,6789
Amridge University,Montgomery,AL,1.9,10656,private,10234
University of North Alabama,Florence,AL,3.6,8624,public,5073
Prescott College,Prescott,AZ,3.09,8191,public,14183
University of California-Berkeley,Berkeley,CA,2.31,9575,public,18448
Heald College-San Francisco,San Francisco,CA,3.7,8371,private,13673
Everest College-Reseda,Reseda,CA,2.67,8542,public,8231
University of Colorado Denver,Denver,CO,2.17,9413,private,9918
Norwalk Community College,Norwalk,CT,3.62,5931,private,13193
Eastern Florida State College,Cocoa,FL,2,6835,public,10983
Talmudic College of Florida,Miami Beach,FL,3.59,9683,private,7614
University of Pittsburgh-Titusville,Titusville,PA,2.31,8182,private,14199
Allen University,Columbia,SC,2.24,6305,private,15508
Lane College,Jackson,TN,2.56,6639,public,18593
Vet Tech Institute of Houston,Houston,TX,1.53,8086,public,6623
Covenant School of Nursing and Allied Health,Lubbock,TX,1.82,5305,private,14800
Tarrant County College District,Fort Worth,TX,1.5,10470,public,19636
James Madison University,Harrisonburg,VA,3.72,10130,private,7843
Lake Washington Institute of Technology,Kirkland,WA,3.64,9564,public,8868
West Virginia Wesleyan College,Buckhannon,WV,3.75,10945,private,18461
Milwaukee Institute of Art & Design,Milwaukee,WI,2.08,5990,private,17073
ICPR Junior College-Mayaguez,Mayaguez,PR,2.87,7249,public,8655
Lac Courte Oreilles Ojibwa Community College,Hayward,WI,2.91,10640,private,15908
Centro de Estudios Multidisciplinarios-Humacao,Humacao,PR,3.68,7587,public,5617
Roger Williams University School of Law,Bristol,RI,3.06,6938,public,17238
Southwest College of Naturopathic Medicine & Health Sciences,Tempe,AZ,2.04,10466,public,16769
Little Priest Tribal College,Winnebago,NE,3.66,5809,private,6361
ITT Technical Institute-Lathrop,Lathrop,CA,2.53,7402,private,19899
Saginaw Chippewa Tribal College,Mount Pleasant,MI,2.76,9404,public,9016
Pacific College of Oriental Medicine-Chicago,Chicago,IL,2.29,8566,public,13297
Charlotte Christian College and Theological Seminary,Charlotte,NC,1.6,10051,private,10508
College of Business and Technology-Flagler,Miami,FL,3.99,5539,private,9537
Wolford College,Naples,FL,3.31,10589,private,13936
Jefferson State Community College,Birmingham,AL,3.35,7149,public,8178
Mohave Community College,Kingman,AZ,1.97,10294,private,7117
Baptist Health Schools-Little Rock,Little Rock,AR,3.01,9904,private,10512
American Conservatory Theater,San Francisco,CA,2.24,5069,private,4753
Northwestern College-Southwestern Campus,Bridgeview,IL,3.37,9680,public,19806
University of St Augustine for Health Sciences,San Marcos,CA,3.87,5328,public,12068
Northwest Indian College,Bellingham,WA,1.79,9226,private,17203
ITT Technical Institute-Omaha,Omaha,NE,2.37,8648,private,11613
Central California School,San Luis Obispo,CA,2.4,7300,private,11601
ITT Technical Institute-Albany,Albany,NY,3.9,8458,private,7548
The Art Institute of Washington,Arlington,VA,1.82,9452,private,14528
Pennsylvania College of Health Sciences,Lancaster,PA,3.49,7855,private,14435
ITT Technical Institute-Duluth,Duluth,GA,2.35,5215,private,9193
Minnesota School of Business-Rochester,Rochester,MN,1.5,7110,public,7505
Rasmussen College-Wisconsin,Green Bay,WI,2.54,10577,public,19301
Pinnacle Career Institute-North Kansas City,Kansas City,MO,1.93,8757,public,13066
Florida School of Traditional Midwifery,Gainesville,FL,2.78,9685,private,17480
Southern California University SOMA,Los Angeles,CA,2.31,8474,public,19674
ICPR Junior College-Manati,ManatÃ_,PR,2.05,9726,private,10985
Whitworth University-Adult Degree Programs,Spokane,WA,2.34,7388,public,16807
College of the Muscogee Nation,Okmulgee,OK,2.74,6952,public,18483
Northeastern University Global Network,Boston,MA,2.22,8482,private,14726
Remington College-Shreveport Campus,Shreveport,LA,1.55,6868,public,4839
Miller-Motte Technical College-Columbus,Columbus,GA,3.47,7040,public,16566
Johnson & Wales University-Online,Providence,RI,2.4,7734,private,16643
Shepherds Theological Seminary,Cary,NC,3.77,7413,private,13618
The Santa Barbara and Ventura Colleges of Lawâ€“Santa Barbara,Santa Barbara,CA,2.71,9373,public,5966
ITT Technical Institute-Pensacola,Pensacola,FL,1.93,8751,private,10855
University of Phoenix-Tennessee,Nashville,TN,2.85,7653,public,18534
Talmudical Seminary of Bobov,Brooklyn,NY,1.83,7918,private,5762
Mayfield College,Cathedral City,CA,3.84,10867,public,19091
Strayer University-Arkansas,Little Rock,AR,3.86,8313,private,11318
The Collective School Of Music,New York,NY,2.74,10379,public,10095
Miller-Motte Technical College-Gulfport,Gulfport,MS,2.08,10572,public,5788
Yeshiva Yesodei Hatorah,Lakewood,NJ,2.1,5092,private,6791
DeVry University-Tennessee,Memphis,TN,3.86,9438,private,8355
Aviation Institute of Maintenance-Kansas City,Kansas City,MO,3.41,9964,public,5818
Mountwest Community and Technical College,Huntington,WV,2.09,8982,private,8183
Ecclesia College,Springdale,AR,2.8,9666,public,7565
Escuela De Troqueleria Y Herramentaje,Bayamon,PR,3.7,9747,private,15474
Sanford-Brown College-San Antonio,San Antonio,TX,3.44,7821,public,17184
City Vision College,Kansas City,MO,2,5212,public,7856
Brown Mackie College-St Louis,Fenton,MO,2.35,7412,public,10066
Globe University-Appleton,Grand Chute,WI,3.01,10319,private,11473
National American University-Bellevue,Bellevue,NE,2.94,9520,private,12472
DeVry University-North Carolina,Charlotte,NC,2.39,8711,private,14528
ITT Technical Institute-Madison,Madison,AL,2.98,7685,public,16417
Chamberlain College of Nursing-Ohio,Columbus,OH,3.03,7413,private,10419
D & L Academy of Hair Design,Twin Falls,ID,2.28,5637,public,15405
Oxford Graduate School,Dayton,TN,2.16,8954,public,13928
City College-Hollywood,Hollywood,FL,3.45,5181,private,18613
Rocky Vista University,Parker,CO,3.54,6302,private,14461
DeVry University-Washington,Federal Way,WA,1.53,5217,public,13443
California State University-Dominguez Hills,Carson,CA,3.96,7567,public,8612
El Camino Community College District,Torrance,CA,2.28,5196,private,6758
Los Angeles Pierce College,Woodland Hills,CA,3.51,10699,private,4519
Rio Hondo College,Whittier,CA,3.51,8959,private,18940
Claremont School of Theology,Claremont,CA,2.92,9728,private,5045
Rocky Mountain College of Art and Design,Lakewood,CO,1.77,8176,private,19434
Strayer University-District of Columbia,Washington,DC,2.69,9970,public,10620
Traviss Career Center,Lakeland,FL,3.51,8259,public,16073
Interactive College of Technology-Chamblee,Chamblee,GA,3.63,6676,private,10659
Paine College,Augusta,GA,3.01,10806,private,17421
Chicago Theological Seminary,Chicago,IL,2.88,8505,private,9190
Kishwaukee College,Malta,IL,2.12,5619,private,11749
Saint Augustine College,Chicago,IL,3.38,9067,public,10952
Manchester University,North Manchester,IN,3.77,5778,private,8700
Johnson County Community College,Overland Park,KS,3.05,10588,private,4645
Sullivan University,Louisville,KY,3.31,10862,public,9035
University of Maryland-Baltimore,Baltimore,MD,1.55,10062,private,11583
College of the Holy Cross,Worcester,MA,3.39,6628,private,5337
Worcester Polytechnic Institute,Worcester,MA,3.38,9268,public,10135
Walsh College of Accountancy and Business Administration,Troy,MI,2.6,6841,private,17649
Delta State University,Cleveland,MS,3.37,7500,private,11985
Westminster College,Fulton,MO,2.49,8526,private,10308
University of Nebraska-Lincoln,Lincoln,NE,3.11,10691,public,10124
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Imaging,Plainfield,NJ,1.75,9629,public,16837
Bard College,Annandale-On-Hudson,NY,2.37,9269,private,9308
CUNY City College,New York,NY,3.61,9139,public,14164
Nyack College,Nyack,NY,2.11,6448,private,16578
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,1.85,10777,public,9226
Denver School of Nursing,Denver,CO,2.85,7754,private,14423
Portland Actors Conservatory,Portland,OR,2.72,8001,public,9753
Unitek College,Fremont,CA,2.79,7934,public,14681
Stevens-Henager College,Boise,ID,1.52,8145,private,10652
Bay State College,Boston,MA,3.05,7694,private,9671
New England School of Acupuncture,Newton,MA,1.6,5620,private,8939
Lake Superior State University,Sault Ste Marie,MI,2.64,8260,public,18309
Bethel Seminary-St Paul,Saint Paul,MN,1.7,6308,public,16851
University of Minnesota-Morris,Morris,MN,3.47,6781,public,12756
State Technical College of Missouri,Linn,MO,1.96,7485,public,8223
Metropolitan Community College Area,Omaha,NE,3.72,10642,private,19950
Thomas More College of Liberal Arts,Merrimack,NH,3.46,10414,public,7137
Rider University,Lawrenceville,NJ,2.61,7078,private,8564
Associated Beth Rivkah Schools,Brooklyn,NY,3.98,6318,private,14259
Hofstra University,Hempstead,NY,3.91,8736,private,8122
Ohr Hameir Theological Seminary,Peekskill,NY,3.73,6730,public,16893
Skidmore College,Saratoga Springs,NY,3.69,10678,public,5390
Wagner College,Staten Island,NY,3.44,7999,public,15962
Catawba Valley Community College,Hickory,NC,2.72,6009,public,17186
North Carolina A & T State University,Greensboro,NC,3.74,6895,private,5120
Allegheny Wesleyan College,Salem,OH,1.81,7086,public,6961
Marion Technical College,Marion,OH,3.34,9109,public,5910
University of Rio Grande,Rio Grande,OH,3.47,7615,public,6641
Northeastern Oklahoma A&M College,Miami,OK,2.59,8926,public,8273
Duquesne University,Pittsburgh,PA,2.76,6986,public,5611
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,1.58,10454,private,4990
Fortis Institute-Erie,Erie,PA,1.98,8500,private,6083
Benedict College,Columbia,SC,1.78,9593,private,17571
Spartanburg Methodist College,Spartanburg,SC,2.47,6183,private,15091
East Tennessee State University,Johnson City,TN,2.4,6245,private,8759
Coastal Bend College,Beeville,TX,2.97,7252,private,8472
Navarro College,Corsicana,TX,2.99,7718,public,7814
Trinity University,San Antonio,TX,2.39,9276,private,17049
Marlboro College,Marlboro,VT,3.93,5694,private,4923
Virginia Commonwealth University,Richmond,VA,3.41,8480,public,6588
Olympic College,Bremerton,WA,2.56,6558,private,12014
Wisconsin School of Professional Psychology,Milwaukee,WI,3.91,8761,public,4895
Inter American University of Puerto Rico-Metro,San Juan,PR,1.64,9410,private,15978
Fortis Institute-Forty Fort,Forty Fort,PA,3.05,9772,private,7831
Baptist Theological Seminary at Richmond,Henrico,VA,2.86,6657,private,7977
Emmanuel College,Franklin Springs,GA,2.74,9079,public,14813
Kauai Community College,Lihue,HI,3.95,10298,public,9985
Illinois Valley Community College,Oglesby,IL,3.16,8107,private,8806
Rockford University,Rockford,IL,2.33,6357,private,8731
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,3.79,8891,public,13173
Central Christian College of Kansas,McPherson,KS,3.27,6060,private,15444
Maysville Community and Technical College,Maysville,KY,3.83,6367,public,7755
University of Baltimore,Baltimore,MD,2.59,7387,public,19731
American International College,Springfield,MA,2.61,8115,public,18535
University of Massachusetts-Boston,Boston,MA,2.61,9314,public,4797
Williams College,Williamstown,MA,1.56,10236,public,9792
West Shore Community College,Scottville,MI,1.69,10987,private,19588
Normandale Community College,Bloomington,MN,3.2,10026,private,6831
Cottey College,Nevada,MO,2.05,5794,public,16141
